ID,DYear,DMonth,DustStorm,SuspendDust,RisingDust,Rain,SunShine,DryTemperature,MaxTemperature,MinTemperature,Humidity,Evaporation,Pressure
"1","1991","1","0","1","0","2","2","1","1","1","4","1","4"
"2","1991","2","0","1","1","2","2","1","1","1","4","1","3"
"3","1991","3","1","1","1","1","2","2","2","2","3","1","3"
"4","1991","4","0","2","1","1","2","3","3","3","2","2","3"
"5","1991","5","2","2","2","1","3","4","4","3","2","3","2"
"6","1991","6","0","3","2","0","4","4","5","4","1","4","2"
"7","1991","7","0","3","2","0","3","5","5","4","1","4","1"
"8","1991","8","0","3","2","0","3","4","5","4","1","4","1"
"9","1991","9","0","1","0","0","3","4","4","4","1","3","2"
"10","1991","10","0","2","1","2","2","3","3","3","2","2","3"
"11","1991","11","0","1","1","2","2","2","2","2","3","1","3"
"12","1991","12","1","2","1","3","1","1","1","1","4","1","3"
"13","1992","1","0","1","1","2","1","1","1","1","3","1","4"
"14","1992","2","1","2","1","2","1","1","1","1","4","1","3"
"15","1992","3","0","1","1","1","2","2","2","1","3","1","3"
"16","1992","4","1","2","2","1","2","3","3","2","2","2","3"
"17","1992","5","1","3","2","1","2","4","4","3","2","3","2"
"18","1992","6","0","3","2","0","3","4","5","4","1","3","2"
"19","1992","7","1","3","2","0","3","5","5","4","1","4","1"
"20","1992","8","0","3","2","0","3","5","5","4","1","4","1"
"21","1992","9","0","2","1","0","3","4","4","3","1","3","2"
"22","1992","10","1","2","1","2","3","3","4","2","2","2","3"
"23","1992","11","0","2","1","2","2","2","2","2","3","1","4"
"24","1992","12","0","1","0","3","1","1","1","1","4","1","4"
"25","1993","1","0","1","1","2","2","1","1","1","4","1","4"
"26","1993","2","0","1","1","1","2","1","1","1","3","1","4"
"27","1993","3","1","2","1","3","2","2","2","2","2","1","3"
"28","1993","4","0","2","1","1","3","3","3","3","3","2","3"
"29","1993","5","1","3","2","0","3","4","4","3","2","2","2"
"30","1993","6","1","2","1","0","4","4","5","4","1","3","2"
"31","1993","7","1","3","2","0","4","5","5","4","1","4","1"
"32","1993","8","1","2","1","1","4","5","5","4","1","3","1"
"33","1993","9","0","2","1","2","3","4","5","3","1","2","2"
"34","1993","10","0","2","1","1","3","3","4","3","2","1","3"
"35","1993","11","0","1","1","2","2","2","2","2","2","1","3"
"36","1993","12","0","2","0","2","2","2","2","1","4","1","4"
"37","1994","1","1","1","0","2","2","2","1","1","4","1","3"
"38","1994","2","0","1","1","2","3","2","2","1","3","1","3"
"39","1994","3","1","2","1","2","2","2","2","2","2","1","3"
"40","1994","4","1","2","1","1","3","3","5","3","2","2","3"
"41","1994","5","1","3","1","0","3","4","4","3","1","3","2"
"42","1994","6","0","2","2","0","4","4","5","4","1","3","1"
"43","1994","7","1","3","2","0","4","5","5","4","1","4","1"
"44","1994","8","0","2","1","1","4","4","5","4","1","3","1"
"45","1994","9","0","2","0","2","3","4","5","4","1","2","2"
"46","1994","10","0","1","1","3","2","4","4","3","2","1","3"
"47","1994","11","0","1","1","2","2","2","2","2","4","1","3"
"48","1994","12","0","1","0","1","2","1","1","1","4","1","4"
"49","1995","1","0","1","0","3","2","1","1","1","4","1","4"
"50","1995","2","0","1","0","2","2","2","2","2","3","1","3"
"51","1995","3","0","1","1","2","3","2","2","2","3","1","3"
"52","1995","4","0","1","1","1","3","3","3","3","2","2","3"
"53","1995","5","0","2","1","1","4","4","4","3","1","3","2"
"54","1995","6","0","1","1","0","4","4","5","4","1","3","2"
"55","1995","7","0","1","1","0","4","5","5","4","1","3","1"
